catid,codec,description
6,SN,"直鍍銠0.1MIC(3MIC錫,0.125MIC鈀底)"
6,T9,直鍍槍色+銠
6,SP,直鍍鉑(1MIC底銀)
6,SQ,不鍍+磨砂+涂黑油
6,SR,國內ELLE　鍍銠0.07MIC(鹼　5MIC+酸　5MIC+鎳2MIC+銀1MIC+鈀0.07MIC)
6,SS,國內ELLE銀鍍銠0.07MIC(底銀3MIC+鈀0.07MIC)
6,ST,"國內ELLE　鍍金0.5MIC(23K成色,14K顏色)(鹼　5MIC+酸　5MIC+鎳2MIC+銀1MIC+鈀0.07MIC)"
6,SU,直鍍銠+金0.5MIC(14K漢密頓金色)
6,SV,"國內ELLE　鍍金0.5MIC(23K成色,14K顏色)(鹼　5MIC+酸　5MIC+銀1MIC+鈀0.07MIC)"
6,SW,國內ELLE　鍍銠0.07MIC(鹼　5MIC+酸　5MIC+銀1MIC+鈀0.07MIC)
6,SX,"國內ELLE　鍍釕(鹼　5MIC+酸　5MIC+銀1MIC+鈀0.07MIC+釕0.07MIC)+金0.5MIC(23K成色,14K顏色)"
6,SY,"國內ELLE　鍍金0.5MIC(23K成色,14K顏色)(鹼　5MIC+酸　5MIC+銀1MIC+鈀0.07MIC)+銠0.07MIC"
6,SZ,"國內ELLE　鍍銠0.07MIC(鹼　5MIC+酸　5MIC+銀1MIC+鈀0.07MIC)+金0.5MIC(23K成色,14K顏色)"
6,T0,直鍍金0.5MIC+HSN鉑+槍色+鑽石針紋
6,T3,0#噴砂+直鍍金0.5MIC+銠
6,T4,0#噴砂+直鍍金1MIC
6,T6,直鍍金0.375MIC
6,T7,直鍍金1MIC+鑽石針紋
6,T8,直鍍金1MIC+鑽石銼紋
6,TA,直鍍金1MIC+銠+鑽石針紋
6,XF,不鍍+涂烤漆
6,XK,直鍍鉑+玫瑰金1MIC
6,XL,直鍍銠0.075MIC+烤漆+涂黑油
6,XS,直鍍金2.5MIC+銠+車花
6,XT,直鍍玫瑰金1MIC
6,XV,鍍金1MIC+釕+銠
6,XW,0#噴砂+鍍金0.25MIC+銠
6,XZ,HSN鍍鉑+金1MIC
6,Y0,局部硫化+噴砂
6,Y1,硫化拋光
6,Y2,防氧化處理
6,Y3,硫化拋光+涂烤漆
6,Y4,硫化拋光+金1MIC
6,Y6,硫化拋光+直鍍銠
6,Y7,硫化拋光+直鍍銀
6,Y8,直鍍玫瑰金2.5MIC+銠
6,YA,防氧化處理+硫化拋光
6,YB,防氧化處理+噴砂
6,YC,硫化拋光+直鍍銠+烤漆
6,YE,硫化拋光+磨砂
6,YF,硫化拋光+噴砂
6,YL,局部硫化+直鍍銠
6,YN,0#噴砂+防氧化處理
6,YP,硫化拋光(5MIC底銀)
6,Z2,直鍍銠0.1MIC(　 0.25MIC-0.5MIC+白　錫)
6,NN,0#噴砂+E-COAT
6,NS,局部直鍍銠
6,P0,局部IP巧克力顏色電鍍
6,P1,鍍金0.25MIC+銠+玫瑰金0.25MIC
6,P4,鍍金0.25MIC+銠+噴砂
6,P5,直鍍金0.5MIC+涂黑油
6,P6,直鍍玫瑰金1MIC+槍色
6,P7,直鍍玫瑰金3MIC+烤漆
6,P8,0#噴砂+直鍍玫瑰金0.5MIC
6,P9,鍍玫瑰金0.25MIC
6,PA,0#噴砂+鍍玫瑰金0.25MIC
6,PB,0#噴砂+鍍金0.25MIC
6,PC,直鍍玫瑰金1.5MIC
6,PD,直鍍玫瑰金2MIC
6,PE,Flash Gold(1MIC底銀)+E-COAT
6,PF,Flash Gold+銠(1MIC底銀)+E-COAT
6,PG,Flash Rose Gold(1MIC底銀)+E-COAT
6,PH,0#噴砂+直鍍金0.5MIC(14K漢密頓金色)
6,PJ,直鍍金0.5MIC(14K漢密頓金色)
6,PK,鍍金0.25MIC(2MIC底銀)
6,PL,鍍玫瑰金0.25MIC(2MIC底銀)
6,PM,直鍍金0.5MIC(14K漢密頓金色)+銠(2MIC底銀)
6,PN,直鍍金2MIC(14K漢密頓金色)+銠
6,PR,直鍍金1MIC(14K漢密頓金色)
6,PS,直鍍金1MIC(14K漢密頓金色)+銠
6,PT,直鍍金1.5MIC(14K漢密頓金色)
6,PU,直鍍金2MIC(14K漢密頓金色)
6,PV,"直鍍金1MIC(18K成色,18K顏色)"
6,PW,鍍玫瑰金0.25MIC(1MIC底銀)
6,PX,"直鍍金1MIC(18K成色,18K顏色)+銠"
6,PY,直鍍玫瑰金2MIC+銠
6,PZ,Flash Rose Gold+銠(1MIC底銀)+E-COAT
6,Q4,直鍍金0.5MIC+槍色
6,Q5,直鍍金3MIC+黑銠
6,Q7,局部IP玫瑰金
6,Q8,直鍍金(23K，24K顏色)1MIC
6,QA,直鍍金5MIC+黑銠
6,Q9,直鍍金1MIC+銠+黑銠
6,QD,直鍍金3MIC+銠+黑銠
6,QE,直鍍金1MIC+黑銠
6,QH,直鍍金3MIC+銠+勾絲
6,QJ,直鍍金0.5MIC+銠+鑽石針紋
6,18,直鍍槍色+鉑
6,1A,直鍍槍色(1MIC底銀)
6,1B,含鎳槍色(2MIC底銀)
6,1E,直鍍玫瑰金1MIC+磨砂
6,1F,直鍍玫瑰金1MIC+噴砂
6,1G,直鍍金1MIC+銠+烤漆
6,1H,直鍍金3MIC+銠+車花
6,1L,直鍍銠+槍色+噴砂
6,1M,直鍍金3MIC+銠+磨砂
6,1N,直鍍金1MIC+銠+磨砂
6,1P,直鍍玫瑰金5MIC+銠
6,1Q,直鍍金1MIC+HSN鉑
6,1R,直鍍金5MIC+釕
6,1T,直鍍金3MIC+釕
6,1U,直鍍玫瑰金3MIC+磨砂
6,1V,直鍍玫瑰金3MIC+噴砂
6,1W,直鍍金1MIC+銠+涂黑油
6,1Y,直鍍金0.5MIC+噴砂
6,1Z,直鍍金(14K成色)1MIC
6,22,直鍍金0.5MIC+銠+車花
6,24,直鍍金2MIC
6,25,"0#噴砂+直鍍金(23K,24K顏色)1MIC+銠"
6,27,直鍍金0.5MIC+車花
6,28,直鍍金0.5MIC+釕
6,29,0#噴砂+直鍍金3MIC+銠
6,2B,直鍍銀+硫化拋光
6,2C,直鍍銀+勾絲
6,2D,直鍍銀10秒+1分鐘保護
6,2H,直鍍銀+E-COAT+烤漆
6,3R,直鍍銠+金1MIC+釕
6,3S,0#噴砂+直鍍銠0.075MIC
6,3T,直鍍銠+金1MIC+磨砂
6,3V,直鍍銠+玫瑰金3MIC+磨砂
6,3W,直鍍銠+涂黑油+涂烤漆
6,3X,直鍍銠+涂黑油
6,3Y,直鍍銠+金(14K成色)3MIC
6,40,直鍍銠0.075MIC+車花
6,41,直鍍銠0.075MIC+噴砂
6,42,直鍍銠0.075MIC+亮砂
6,47,直鍍鉑+鑽石針紋
6,48,直鍍鉑+金0.5MIC+玫瑰金0.5MIC
6,4E,直鍍金(14K成色)3MIC+銠
6,4F,無鎳鍍金0.5MIC+銠+鑽石銼紋
6,4K,直鍍銠+金1MIC+涂黑油
6,4P,直鍍銀+霧漆
6,4R,直鍍銀+金(14)2MIC
6,4S,直鍍銀+鑽石針紋
6,4T,直鍍銀+鑽石銼紋
6,4W,直鍍鉑0.25MIC
6,4X,直鍍銀+玫瑰金1MIC
6,4Z,直鍍銀+涂黑油
6,51,直鍍銠+金0.5MIC+涂黑油
6,53,0#噴砂+直鍍金0.5MIC
6,54,直鍍銀+E-COAT+磨砂
6,57,0#噴砂+直鍍銀
6,58,局部硫化
6,59,直鍍銠+槍色+涂黑油
6,5A,局部硫化+烤漆
6,5B,0#噴砂+直鍍鉑
6,5E,0#噴砂+直鍍金0.5MIC+銠+鑽石銼紋
6,5G,直鍍銠+槍色(含鎳)
6,5H,直鍍鉑+槍色(含鎳)
6,5J,鍍金0.25MIC+銠+烤漆
6,5M,HSN鍍鉑+鑽石針紋
6,5N,鍍金0.25MIC+銠
6,5Q,無鎳鍍金0.375MIC+銠
6,5S,直鍍金0.5MIC+鑽石銼紋
6,5T,鍍銀
6,5W,鍍銀+硫化拋光
6,5X,鍍銀+涂烤漆
6,61,不鍍+磨砂
6,7B,直鍍金1MIC+槍色
6,7C,直鍍金0.5MIC+銠+磨砂
6,7D,直鍍金0.5MIC+E-COAT
6,7E,直鍍金0.5MIC+銠+噴砂
6,7J,直鍍金5MIC+銠+勾絲
6,7K,直鍍銠+釕+涂黑油
6,7L,無鎳鍍金0.375MIC
6,7V,直鍍銠+金2MIC+涂黑油
6,7Y,無鎳鍍金0.5MIC+磨砂
6,80,無鎳鍍銀+E-COAT
6,85,直鍍銠(5MIC底銀)
6,86,直鍍銠+玫瑰金0.25MIC
6,8G,鍍銠+釕
6,AT,直鍍金2MIC(14K漢密頓金色)+磨砂+涂黑油
6,AU,直鍍金1MIC+槍色(含鎳)
6,AX,直鍍金(23K，14K顏色)1MIC
6,AY,直鍍金0.5MIC+玫瑰金0.5MIC
6,B2,直鍍銠+金3MIC
6,B3,直鍍銠0.075MIC+釕
6,B4,直鍍銠+14K黃金
6,2T,直鍍銠+涂烤漆+亮砂
6,A9,鍍金0.25MIC+銠+車花
6,HA,直鍍銠+烤漆+噴砂
6,HC,直鍍鉑+烤漆+亮砂
6,QZ,直鍍金(14K成色)2MIC
6,R3,直鍍銠+黑銠+烤漆
6,RB,直鍍銠+金0.5MIC+烤漆
6,RD,直鍍銠+鑽石銼紋
6,RF,直鍍銠+金3MIC+黑銠
6,RH,0#噴砂+直鍍銠
6,RK,直鍍金0.375MIC+銠
6,RM,直鍍銠+局部硫化
6,TF,0#噴砂+直鍍金3MIC
6,TH,直鍍玫瑰金1MIC+銠+噴砂
6,TK,直鍍金(23K，14K顏色)1MIC+銠0.075MIC+涂黑油
6,TN,直鍍玫瑰金1MIC+涂烤漆
6,TQ,直鍍銠0.075MIC+金1MIC(23K，14K顏色)
6,TU,直鍍金0.5MIC+銠+涂黑油
6,TX,直鍍金2.5MIC+槍色
6,TZ,直鍍金(23K，14K顏色)2MIC+銠0.075MIC
6,U1,國內ELLE銀鍍銠0.07MIC(底銀3MIC+鈀0.07MIC)+金(23K，14K顏色)1MIC
6,U3,國內ELLE　鍍釕(鹼　5MIC+酸　5MIC+銀1MIC+鈀0.07MIC+釕0.07MIC)
6,U5,直鍍銠0.05MIC(白　錫1MIC+鈀 0.05MIC)(1MIC底銀)
6,U7,仿金+E-COAT
6,U9,仿玫瑰金+E-COAT
6,UB,直鍍銠+霧面效果
6,UD,仿金(舊金)+E-COAT
6,UF,直鍍金0.5MIC(1MIC底銀)
6,V1,見備註
6,V3,見備註
6,V5,見備註
6,V7,見備註
6,V9,見備註
6,VB,見備註
6,VD,見備註
6,VZ,見備註
6,X0,直鍍銠+玫瑰金1MIC
6,X4,HSN鍍鉑+玫瑰金1MIC
6,X8,局部鍍銠
6,XD,直鍍玫瑰金2.5MIC
6,ZJ,JTV 鍍鉑+黑銠+鑽石銼紋
6,ZL,JTV 鍍鉑
6,ZU,局部IP黑色電鍍
6,E8,直鍍銠+車花
6,EB,直鍍銠+勾絲
6,ED,鍍金0.5MIC+銠+車花
6,B5,直鍍銠0.075MIC+磨砂
6,B6,直鍍銠+槍色
6,B7,直鍍銠+車花+烤漆
6,B9,直鍍銠0.1MIC
6,BD,直鍍銠+涂黑油+噴砂
6,BE,直鍍銠+金0.5MIC+噴砂
6,BG,0#噴砂+直鍍銠+涂黑油
6,BH,直鍍銠+槍色+烤漆
6,BJ,直鍍銠0.075MIC+金3MIC(23K，14K顏色)+涂黑油
6,BK,直鍍銠+金1MIC+槍色
6,BP,直鍍銠0.075MIC+烤漆
6,BS,直鍍銠0.075MIC+涂黑油
6,BT,直鍍銠+金0.5MIC+磨砂
6,00,不鍍
6,03,鍍銠+金1MIC
6,06,直鍍金3MIC+銠+噴砂
6,07,直鍍金3MIC+噴砂
6,08,直鍍金(14K成色)3MIC+噴砂
6,09,直鍍金1MIC+涂黑油
6,0A,直鍍銀
6,0B,直鍍銀+噴砂
6,0C,直鍍銀+磨砂
6,0E,直鍍銀+涂烤漆
6,0F,直鍍銀+E-COAT
6,0G,直鍍銀+金1MIC+烤漆
6,0H,直鍍銀+玫瑰金0.5MIC+金0.5MIC
6,0L,直鍍銠
6,0M,直鍍銠+噴砂
6,0N,直鍍銠+磨砂
6,0P,直鍍銠+亮砂
6,0Q,直鍍銠+涂烤漆
6,0R,直鍍銠+涂霧漆
6,0S,直鍍銠+金(14K成色)3MIC+噴砂
6,0T,直鍍銠+噴砂+車花
6,0U,直鍍鉑
6,0V,直鍍鉑+噴砂
6,0X,直鍍鉑+磨砂
6,0Y,直鍍鉑+涂烤漆
6,10,直鍍鉑+玫瑰金0.5MIC
6,11,直鍍釕
6,12,直鍍釕+銠
6,13,直鍍釕+車花
6,15,直鍍槍色
6,2K,直鍍銀+E-COAT+車花
6,2M,直鍍銠+玫瑰金0.5MIC
6,2N,直鍍銠+金0.5MIC+玫瑰金0.5MIC
6,2P,直鍍銠+金3MIC+烤漆+噴砂
6,2Q,直鍍銠+金1MIC+烤漆
6,2R,直鍍銠+金1MIC+車花
6,2S,直鍍銠+金3MIC+車花
6,2U,直鍍銠+釕
6,2X,直鍍銠+金0.5MIC+玫瑰金0.5MIC+釕+車花
6,2Y,直鍍銠+釕+烤漆
6,2Z,直鍍銠+金2MIC
6,30,直鍍銠+金(14K成色)3MIC+玫瑰金3MIC+噴砂
6,33,無鎳鍍銠+涂黑油
6,38,無鎳鍍銠+槍色
6,39,直鍍鉑+釕
6,3D,直鍍鉑+涂黑油
6,3F,直鍍鉑+金0.5MIC
6,3G,直鍍鉑+釕+涂烤漆
6,3K,直鍍鉑+槍色
6,62,不鍍+鑽石針紋
6,63,鍍銠
6,67,鍍銠+涂烤漆
6,69,不鍍+涂黑油
6,6A,鍍鉑
6,6J,直鍍鉑+黑銠
6,6R,直鍍玫瑰金0.5MIC+車花
6,6S,直鍍玫瑰金1MIC+鑽石針紋
6,6X,鍍金0.25MIC+E-COAT
6,6Y,鍍金0.25MIC+銠+E-COAT
6,6Z,槍色(含鎳)
6,8R,無鎳鍍銠+金0.5MIC
6,8Y,HSN鍍鉑+槍色
6,8Z,硫化
6,90,鍍釕
6,91,直鍍銠+金2.5MIC+玫瑰金2.5MIC
6,94,直鍍銠+涂黑油+磨砂
6,95,直鍍金0.5MIC+銠+烤漆
6,96,直鍍金1MIC+銠+槍色
6,97,直鍍金3MIC+槍色
6,99,局部直鍍銠+鑽石針紋
6,9A,直鍍銠+玫瑰金1MIC+涂黑油
6,9B,直鍍金2MIC+銠
6,9C,直鍍金2.5MIC
6,9D,直鍍金(23K，24K顏色)1MIC+銠+涂黑油
6,9E,直鍍金1MIC+玫瑰金1MIC+銠
6,9G,0#噴砂+直鍍金5MIC+銠
6,9J,直鍍金1MIC+E-COAT
6,9K,直鍍金(23K，24K顏色)3MIC+銠
6,9M,直鍍金(23K，14K顏色)1MIC+烤漆+涂黑油
6,9N,直鍍金1MIC+HSN鉑+玫瑰金1MIC
6,9P,直鍍金0.5MIC+涂烤漆
6,9Q,0#噴砂+直鍍金1MIC+銠
6,9R,直鍍金1MIC+銠+E-COAT
6,9U,直鍍金2.5MIC+銠
6,9V,直鍍金1MIC+釕+噴砂
6,AA,鍍金0.25MIC
6,AE,直鍍金0.5MIC+銠+槍色
6,AF,直鍍金0.5MIC+磨砂
6,AH,直鍍金3MIC+銠+烤漆
6,AN,直鍍金(23K，24K顏色)3MIC+銠+涂黑油
6,AP,直鍍金1MIC+銠+槍色+磨砂
6,D6,直鍍銠+金1MIC+噴砂
6,D7,直鍍銠+金1MIC+噴砂+烤漆
6,D8,直鍍銠+金1MIC+玫瑰金1MIC+噴砂
6,D9,直鍍金1MIC+銠+噴砂
6,DA,直鍍金1MIC+玫瑰金1MIC+銠+噴砂
6,DB,直鍍金1MIC+玫瑰金1MIC
6,DG,直鍍金1MIC+噴砂
6,DH,鍍銠+金1MIC+玫瑰金1MIC
6,DK,直鍍銠+金1MIC+亮砂
6,DL,直鍍鉑+金1MIC+E-COAT
6,DQ,HSN鍍鉑+金1MIC+玫瑰金1MIC
6,DT,直鍍金0.5MIC+銠
6,DV,鍍金0.5MIC
6,E0,直鍍玫瑰金1MIC+銠+金1MIC
6,FF,不鍍+烤漆+涂黑油
6,FG,直鍍黃金0.5MIC(23K成色，14K顏色)
6,FR,0#噴砂+直鍍銠+鑽石銼紋
6,FS,直鍍金3MIC+銠+釕
6,FT,直鍍金0.5MIC+槍色(含鎳)+磨砂
6,FY,直鍍銠+金3MIC+噴砂
6,G1,直鍍銠+金3MIC+釕
6,G5,0#噴砂+直鍍金2MIC+銠
6,G6,直鍍銠+金3MIC+玫瑰金3MIC+噴砂
6,G8,直鍍釕+金3MIC
6,GC,直鍍銠+金3MIC+玫瑰金3MIC
6,GD,直鍍金3MIC+銠+玫瑰金3MIC
6,GF,直鍍銠+金3MIC+烤漆
6,GH,直鍍銠+金3MIC+磨砂
6,GJ,直鍍銠+黃金3MIC+勾絲
6,GN,直鍍金3MIC+磨砂
6,GR,直鍍金3MIC+車花
6,GS,直鍍金(14K成色)3MIC
6,GU,直鍍金1MIC+銠+車花
6,GV,直鍍金1MIC+磨砂
6,GY,直鍍金5MIC+車花
6,H1,無鎳銀
6,H6,直鍍銠+釕+磨砂
6,H7,直鍍銠+玫瑰金1MIC+噴砂
6,H8,直鍍玫瑰金1MIC+銠
6,HL,局部直鍍釕
6,HB,直鍍鉑0.5MIC
6,HJ,不鍍+噴砂
6,HM,E-COAT
6,HN,鍍金0.5MIC+銠
6,HT,直鍍銠+玫瑰金1MIC+烤漆
6,K1,無鎳鍍金1MIC
6,K2,無鎳鍍銠+金1MIC
6,K3,無鎳鍍銠+烤漆
6,K4,無鎳鍍金1MIC+銠
6,K5,無鎳鍍銠+噴砂
6,K7,無鎳鍍金0.5MIC+銠
6,K8,無鎳鍍銠+玫瑰金1MIC
6,KA,鍍槍色
6,KF,無鎳鍍銠+釕
6,KK,無鎳鍍銠+車花
6,KL,無鎳鍍金0.5MIC+車花
6,KM,無鎳鍍金0.5MIC+銠+車花
6,KN,無鎳鍍金0.5MIC+銠+烤漆
6,KR,無鎳鍍金0.5MIC
6,KT,無鎳鍍銠+磨砂
6,KW,無鎳鍍銠+亮砂
6,KX,鍍金0.25MIC(14K漢密頓金色)
6,L0,鍍鈀0.25MIC+銀
6,L1,鍍鈀0.25MIC+銀+噴砂
6,L2,E-COAT+烤漆
6,ME,鍍黃金1MIC+銠+車花
6,MF,鍍黃金1MCI+車花
6,MK,直鍍金1MIC+勾絲
6,MN,直鍍銠+金1MIC+玫瑰金1MIC+車花
6,MP,鍍金1MIC+磨砂
6,MR,直鍍金1MIC+車花
6,MS,直鍍鉑0.5MIC+金1MIC
6,MU,鍍黃金1MIC+銠+磨砂
6,MV,直鍍金1MIC+亮砂
6,MW,鍍金1MIC+車花+亮砂
6,MZ,直鍍金0.5MIC
6,N5,直鍍玫瑰金3MIC+車花
6,N6,直鍍玫瑰金3MIC+銠
6,N8,局部直鍍銀
6,N9,局部直鍍銀+E-COATED
6,NA,直鍍玫瑰金1MIC+釕
6,NB,直鍍玫瑰金0.5MIC
6,NC,直鍍玫瑰金1MIC+車花
6,QL,直鍍玫瑰金1MIC+銠+車花
6,QQ,直鍍金0.5MIC+銠+玫瑰金0.5MIC
6,QR,直鍍金0.5MIC+銠+鑽石銼紋
6,QT,直鍍金1MIC+噴砂+車花
6,QW,直鍍金1MIC+槍色+磨砂
6,QY,直鍍金1MIC+銠+鑽石銼紋
6,R1,直鍍銠+黑銠
6,R4,直鍍銠0.075MIC+黑銠
6,RC,直鍍銠+玫瑰金2.5MIC
6,RE,直鍍銠+金0.5MIC+鑽石銼紋
6,RG,0#噴砂+直鍍銠+金0.5MIC
6,RJ,直鍍銠+金0.5MIC+玫瑰金0.5MIC+鑽石針紋
6,RL,0#噴砂+直鍍銠+烤漆
6,TC,直鍍金3MIC+銠+鑽石針紋
6,TG,直鍍金0.5MIC+鉑
6,TJ,直鍍金(23K，14K顏色)1MIC+銠0.075MIC
6,TM,直鍍金1MIC+磨砂+車花
6,TP,直鍍金2MIC+涂烤漆
6,TR,直鍍金(23K，14K顏色)3MIC+銠0.075MIC+涂黑油
6,TW,直鍍金2.5MIC+玫瑰金2.5MIC
6,TY,直鍍金1.5MIC
6,U0,直鍍金(23K，14K顏色)2MIC+銠0.075MIC+涂黑油
6,U2,"直鍍金(23K,14K顏色)1MIC+國內ELLE銀鍍銠0.07MIC(底銀3MIC+鈀0.07MIC)"
6,U4,直鍍銠0.05MIC(白　錫1MIC+鈀 0.05MIC)+SN G0.25MIC
6,U6,仿銀+E-COAT
6,U8,直鍍銠+金1MIC(23K成色，14K顏色)
6,UA,直鍍銠+玫瑰金2MIC
6,UC,硫化後滾桶(有機表面效果)
6,UE,仿銀(舊銀)+E-COAT
6,V0,見備註
6,V2,見備註
6,V4,見備註
6,V6,見備註
6,V8,見備註
6,VA,見備註
6,VC,見備註
6,VE,見備註
6,WZ,直鍍鉑0.25MIC+烤漆
6,X2,HSN鍍鉑+烤漆
6,X7,HSN 鍍鉑+釕
6,XB,直鍍銠+涂烤漆+涂霧漆
6,ZH,JTV 鍍鉑+鑽石銼紋
6,ZK,"EPI(QVC)直鍍鉑(0.05MIC鈀,0.25MIC鉑,0.05MIC銠)"
6,ZM,HSN 鍍鉑
6,E7,直鍍銀+車花
6,E9,HSN鍍鉑+車花
6,EC,直鍍銠+合成樹脂
6,EG,直鍍金2.5MIC+釕
6,EK,局部直鍍銠+車花
6,EM,直鍍銠+E-COATED
6,ET,直鍍銠+車花+亮砂
6,F0,直鍍金3MIC
6,EH,直鍍鉑+車花
6,EL,直鍍銠+金0.5MIC
6,EQ,不鍍+車花
6,EV,直鍍鉑0.1MIC
6,F1,直鍍金3MIC+涂烤漆
6,F3,直鍍金3MIC+鉑
6,F6,直鍍鉑+金3MIC
6,FA,鍍金3MIC
6,FD,直鍍金0.5MIC+槍色(含鎳)
6,HW,直鍍銠+硫化拋光
6,J0,直鍍銠+金5MIC
6,JB,直鍍銠0.075MIC+金3MIC(23K，14K顏色)
6,JE,局部IP黃金
6,JR,直鍍金5MIC+噴砂
6,K0,無鎳鍍銠
6,LA,EPI直鍍鉑
6,LD,直鍍銠+玫瑰金5MIC
6,LF,直鍍銠+玫瑰金3MIC
6,LQ,直鍍銠+金(14K成色)1MIC
6,M0,直鍍金1MIC+釕
6,M3,直鍍金3MIC+鑽石針紋
6,M7,直鍍玫瑰金1MIC+金1MIC
6,BX,直鍍玫瑰金0.5MIC+金0.5MIC
6,BZ,直鍍金0.5MIC+銠+E-COATED
6,C1,直鍍金1MIC+涂烤漆
6,C3,直鍍金1MIC+鉑
6,C6,直鍍鉑+金1MIC
6,C8,直鍍鉑+金1MIC+玫瑰金1MIC
6,CB,鍍金1MIC+噴砂
6,CJ,鍍金1MIC+銠+涂烤漆
6,CL,鍍銀+金1MIC
6,CS,直鍍金1MIC+銠+釕
6,CX,IP玫瑰金
7,00,AA*925 特殊字印60
7,02,AAA*BGE
7,04,AAA*925 18K V
7,06,AAA*925 CZ db
7,08,AAA* CHINA BRASS 特殊字印9
7,0A,AAA*750
7,0C,A*925 Brass 特殊字印17
7,0E,AAA*M
7,0G,A*10K R CHINA CZ
7,0J,AAA*925 LALOOP
7,0L,AAA*Ag925
7,0N,AAA*925A CHINA CZ
7,0Q,AAA*VC S925
7,0S,AAA*925 CHINA KRMM特殊字印15
7,0U,AAA* 925 CHINA BRASS 特殊字印9
7,0W,AAA*925 CIL 特殊字印13
7,0Y,AAA*925 18K CZ
6,F2,直鍍金3MIC+銠
6,F5,直鍍金0.5MIC(14K漢密頓金色)+銠
6,F7,直鍍銠+金3MIC+玫瑰金1MIC
6,FC,鍍金3MIC+涂烤漆
6,HV,直鍍玫瑰金1MIC+鉑
6,HX,直鍍銠0.075MIC
6,J3,直鍍金5MIC
6,JD,直鍍金5MIC+銠
6,JM,直鍍金5MIC+磨砂
6,JY,不鍍+勾絲
6,L9,直鍍玫瑰金3MIC
6,LB,直鍍銠+玫瑰金1MIC+釕
6,LE,直鍍玫瑰金5MIC
6,LM,HSN鍍鉑+磨砂
6,LW,直鍍玫瑰金5MIC+磨砂
6,M1,直鍍銀+金1MIC+噴砂
6,M4,直鍍釕+金1MIC
6,BW,直鍍銠+金0.25MIC
6,BY,直鍍銠+鑽石針紋
6,C0,直鍍金1MIC
6,C2,直鍍金1MIC+銠
6,C5,直鍍銠+金1MIC
6,C7,直鍍銠+金1MIC+玫瑰金1MIC
6,CA,鍍金1MIC
6,CH,鍍金1MIC+銠
6,CK,鍍金1MIC+釕
6,CR,IP黃金
6,CT,IP黑色電鍍
6,D0,直鍍玫瑰金0.5MIC+銠
7,01,AAA*925 特殊字印58
7,03,AAA*14K CHINA
7,05,AAA*18K V
7,07,AAA*G750 C
7,09,AAA*750 R China
7,0B,AAA*18K 特殊字印12
7,0D,AAA*750 特殊字印12
7,0F,AAA*925 375 K
7,0H,AAA*9K
7,0K,B*字印參照樣品
7,0M,AAA*925A CHINA
7,0P,AAA*925A LALOOP
7,0R,AAA*S925 S.TOWN
7,0T,AAA*M G585
7,0V,AAA* 925 CHINA BRASS COPPER 特殊字印9
7,0X,AAA*925 R CHINA G.Leather
7,0Z,AAA*14K GANAELLE
7,11,AAA*14K R CHINA DQCZ
7,13,A*AGATHA 特殊字印62
7,15,AAA*925 R CHINA DQCZ
7,17,AAA*14K M2特殊字印15
7,10,A*925 特殊字印69
7,12,AAA*925 特殊字印61
7,14,A*14K 特殊字印17
7,16,AAA*925 M2特殊字印15
7,18,A*925 AGATHA 特殊字印62
7,2T,AAA*M Au750
7,4D,AA*14K 925 CIL
7,7L,B*925 CZ(CHINA 吊牌)
7,99,A*925 PL GT
7,61,AA*925 ELLE(CHINA吊牌)
7,F0,AAA*750 CHINA
7,GH,AAA*14K PAJ CHINA CZ
7,CS,B*AL PAJ CHINA
7,EG,C*BB PAJ CHINA CZ
7,KK,A*925 特殊字印31
7,LW,AAA*MGS S925
7,NB,AA*C
7,PP,B*925 10K PAJ 特殊字印30(CHINA 吊牌)
7,PR,B*925 PAJ 特殊字印30(CHINA吊牌)
7,HV,B*BRONZE DL CHINA
7,SZ,AAA*925 375
7,UC,A*MAN925Ag
7,RE,A*BB ELLE
7,XB,AAA*585 特殊字印53
7,YV,AA*375 LUND
7,V0,AA*925 EAJ CN
7,WJ,A*925 ARTELIONI
7,WL,A*A STAINLESS STEEL
8,01AT,A級/#8紅剛(B2-B5) 3A
8,02AQ,A級/#33藍剛(B1-B4)
8,03BR,綠色微砂
8,05B8,3A#4黃CZ(B4-B6)
8,06PM,促銷產品用石
8,09BF,B級/綠CZ(B1-B4)
8,12BB,B級/SKY BT(A6-A9)
8,12BG,B級/BABY SWISS(A7-A9)
8,12BJ,B+級/SKY BT(A2-A5)
8,12BQ,B級/LONDON BT(A1-A12)
8,12BS,B級/SKY BT(A4-A8)
8,12BU,B級/LONDON BT(A4-A6)
8,12BW,B級/LONDON BLUE TOPAZ(A2-A5)
8,12BZ,B級/SKY BT(A4-A7)
8,12C2,A級/LONDON BT(A4-A6)
8,12C4,A級/LONDON BLUE TOPAZ(A2-A5)
8,12C7,A級/SKY BT(A4-A7)
8,12C9,A級/深色水藍(A10-A12)
8,12CB,A級/LONDON BT(A6-A12)
7,19,AAA*BB PAJ CHINA
7,1A,AA*925 LUND
7,1B,AAA*925 CHINA
7,1C,AAA*14K DQCZ
7,1D,AAA*925
7,1E,AAA*925 DQCZ
7,1F,AA*14K CHINA CIL
7,1G,AAA*925 CIL
7,1H,AAA*585 DQCZ
7,1J,AAA*925 CHINA CIL
7,1K,AAA*925 DQCZ CIL
7,1L,AAA*925 *47FR CIL
7,1M,AAA*333 R CHINA
7,1N,AAA*375 CIL
